Ticker,Year_Int,Year,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF
GLH,2018,2018/19,,,,4.8,8.4,
GLH,2019,2019/20,,,,4.8,8.4,
GLH,2020,2020/21,,,,4.8,8.4,
GLH,2021,2021/22,,,,4.8,8.4,
GLH,2022,2022/23,,,,4.8,8.4,
GLH,2023,2023/24,,,,4.8,8.4,
GLH,2024,2024/25,,,,4.8,8.4,
AHL,2011,2011/12,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2012,2012/13,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2013,2013/14,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2014,2014/15,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2015,2015/16,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2016,2016/17,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2017,2017/18,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2018,2018/19,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2019,2019/20,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2020,2020/21,6.2,2076.0,36.0,4.8,8.4,0.0
AHL,2021,2021/22,6.2,2076.0,36.0,4.8,8.4,0.3018562472381794
AHL,2022,2022/23,6.2,2076.0,36.0,4.8,8.4,0.4566048878087101
AHL,2023,2023/24,6.2,2076.0,36.0,4.8,8.4,0.4005490008346835
AHL,2024,2024/25,6.2,2076.0,36.0,4.8,8.4,0.4186840170373643
USHL,2023,2023/24,2.4,2074.0,35.0,4.8,8.4,0.4671964263064434
USHL,2024,2024/25,2.4,2074.0,35.0,4.8,8.4,0.4105435613267377
MKHL,2023,2023/24,3.0,2075.0,35.0,4.8,8.4,0.4429455803526129
MKHL,2024,2024/25,3.0,2075.0,35.0,4.8,8.4,0.4008052638254693
SPHL,2023,2023/24,2.5,2070.0,35.0,4.8,8.4,0.4363127549467275
SPHL,2024,2024/25,2.5,2070.0,35.0,4.8,8.4,0.4400140791476408
