S No,Project,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Latitiude N,,Longitude E,,VDC/District,C O D
1,Khimti -I,60,Khimti Khola,1,2051-11-01,2101-10-29,Himal Power Limited,,"27o 28' 28""","27o 33' 07""","86o 06' 04""","86o 15' 00""","Sahure,Hawa (Dolakha) Betali (Ramechhap)",2057-03-27
2,Trishuli,24,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 55' 09""","27o 58' 25""","85o 08' 45""","85o 11' 11""",(Nuwakot),2024-01-01
3,Gandak,15,Narayani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 25' 21""","27o 28' 16""","83o 47' 08""","83o 56' 25""",(Nawalparasi),2035-12-19
4,Panauti,2.4,Roshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 33' 00""","27o 35' 21""","85o 30' 20""","85o 32' 35""",(Kabhrepalanchok),2022-01-01
5,Seti,1.5,Seti Khola (Gandaki),1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"28o 13' 50""","28o 15' 06""","83o 57' 54""","83o 59' 34""",(Kaski),2042-07-16
6,Marsyangdi,69,Marsyangdi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 52' 25""","27o 56' 53""","84o 25' 40""","84o 32' 42""",(Tanahu),2046-07-20
7,Kulekhani-I,60,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 32' 06""","27o 37' 48""","85o 08' 21""","85o 10' 50""",(Makawanpur),2039-01-21
8,Devighat,14.1,Trishuli,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 53' 07""","27o 55' 09""","85o 07' 55""","85o 08' 45""",(Nuwakot),2041-08-16
9,Sun Koshi,10.05,Sun Koshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 45' 00""","27o 46' 00""","85o 50' 10""","85o 52' 30""",(Sindhupalchok),2029-01-01
10,Tinau,1.024,Tinau,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 43' 00""","27o 44' 20""","83o 27' 30""","83o 28' 00""",(Palpa),2038-01-01
11,Tatopani,2,Tatopani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"28o 31' 31""","28o 32' 00""","83o 39' 30""","83o 40' 07""",(Myagdi),2045-01-01
12,Kulekhani-II,32,Kulekhani,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,,"27o 30' 06""","27o 32' 06""","85o 02' 32""","85o 08' 21""",(Makawanpur),2043-07-15
13,Andhi Khola,9.4,Andhi Khola,2_gtd,2052-01-08,2101-12-30,Butwal Power Company,,"27o 55' 34""","27o 57' 02""","83o 40' 37""","83o 41' 06""",(Syangja),2048-02-18
14,Jhimruk Khola,12.5,Jhimruk,3_gtd,2052-01-25,2101-12-30,Butwal Power Company,,"28o 04' 02""","28o 04' 46""","82o 48' 04""","82o 49' 07""",(Pyuthan),2041-04-17
15,Puwa,6.2,Puwa,2,2052-05-27,2101-11-30,Nepal Electricity Authority,,"26o 52' 28""","26o 54' 50""","87o 54' 04""","87o 55' 52""",Ilam N.P. (Ilam),2060-12-22
16,Modi Khola,14.8,Modi Khola,3,2052-10-24,2101-11-30,Nepal Electricity Authority,,"28o 15' 42""","28o 17' 45""","83o 43' 47""","83o 45' 45""",(Parbat),2057-08-16
17,Kali Gandaki A,144,Kali Gandaki,4,2053-07-21,2101-11-30,Nepal Electricity Authority,,"27o 55' 00""","28o 00' 52""","83o 26' 12""","83o 37' 20""",Shreekrishna Gandaki (Syangja),2059-04-31
18,Upper Bhotekoshi,45,Bhotekoshi (Sindhupalchowk),5,2053-08-13,2093-07-30,Bhotekoshi Power Company,,"27o 54' 40""","27o 56' 42""","85o 55' 13""","85o 56' 55""",(Sindhupalchok),2057-10-11
19,Chilime,22,Chilime,6,2054-04-26,2104-11-30,Chilime Hydropower Company Limited,"KMC-3, Maharajgunj, POBox: 25210, Kathmandu, e-mail: info@chilime.com.np","28o 09' 15""","28o 11' 07""","85o 17' 53""","85o 20' 28""",Chilime (Rasuwa),2065-05-07
20,Indrawati -III,7.5,Indrawati,7,2054-11-14,2104-09-29,National Hydropower Company Pvt. Ltd.,,"27o 51' 38""","27o 53' 15""","85o 35' 24""","85o 37' 12""","Jyamire,Langarche (Sindhupalchok)",2059-06-21
21,Madhya Marsyangdi,70,Marsyangdi,8,2057-03-12,2106-01-31,Nepal Electricity Authority,,"28o 08' 20""","28o 11' 50""","84o 24' 18""","84o 26' 51""",(Lamjung),2065-07-16
22,Piluwa Khola,3,Piluwa Khola,9,2057-05-05,2097-04-32,Arun Valley Hydropower Development Company Pvt. Ltd.,,"27o 15' 45""","27o 17' 05""","87o 19' 35""","87o 20' 56""",(Sankhuwasabha),2060-06-01
23,Sunkoshi Small,2.6,Sun Koshi,12,2059-06-22,2094-03-31,Sanima Hydripower Pvt.Ltd,,"27o 46' 00""","27o 48' 00""","85o 53' 00""","85o 56' 00""",(Sindhupalchok),2061-12-11
24,Mailung Khola,5,Mailung Khola,13,2060-12-03,2094-12-30,Mailun Khola Hydropower Company Pvt. Ltd,,"28o 04' 03""","28o 05' 00""","85o 11' 26""","85o 13' 07""",(Rasuwa),2071-03-19
25,Chaku Khola,3,Chaku,17,2061-11-04,2096-11-03,Laughing Buddha Power Nepal Ltd.,,"27o 52' 00""","27o 53' 00""","85o 54' 30""","85o 56' 00""","Fulpingkatti,Tatopani (Sindhupalchok)",2062-03-01
26,Khudi Khola,4,Khudi,16,2061-11-13,2096-11-12,Khudi hydropower limited,,"28o 16' 30""","28o 18' 30""","84o 19' 30""","84o 21' 30""","Ghanpokhara,Khudi,Simpani (Lamjung)",2063-09-15
27,Thoppal Khola,1.65,Thoppal,19,2063-03-25,2098-03-24,Thoppal Khola Hydropower Company,,"27o 49' 00""","27o 51' 00""","84o 50' 30""","84o 53' 30""",(Dhading),2064-04-24
28,Chameliya Khola,30,Chameliya Khola,20,2063-09-04,2098-09-03,Nepal Electricity Authority,,"29o 41' 00""","29o 44' 00""","80o 38' 00""","80o 42' 38""","Latinath,Seri,Sikhar (Darchula)",2074-10-27
29,Mardi Khola,4.8,Mardi,21,2063-10-08,2098-10-07,Gandaki Hydropower Development Co. P. Ltd,,"28o 19' 10""","28o 22' 14""","83o 52' 55""","83o 53' 30""",(Kaski),2066-10-08
30,Ridi Khola,2.4,Ridi,22,2064-02-17,2099-02-16,Ridi Power Co. Ltd.,"P.O. Box: 11039, Baneswor Kathmandu Ph: 4475234, 44474895","27o 55' 30""","27o 57' 00""","83o 23' 30""","83o 26' 30""",(Palpa),2066-07-10
31,Mai Khola,4.5,Mai Khola,23,2064-08-20,2099-08-19,Himal Dolkha Hydropower Co Ltd,,"26o 52' 36""","26o 53' 36""","87o 55' 47""","87o 56' 38""",(Ilam),2064-10-14
