S No,Project,Capacity (MW),River,Appn No,Appn Date,Promoter,Address,Latitiude N,,Longitude E,,VDC/District
1,Hudi Khola Small HEP,0.66,Hudi,5517,2074-12-22,Hudi Khola Hydropower Pvt. Ltd,Kathmandu,"28o 06' 05""","28o 06' 45""","84o 40' 28""","84o 41' 39""",
2,Nisi Khola Small HEP,0.95,Nisi,7329,2075-03-11,Ujyalo Burtibang Jalbidhyut Aayojana,068-410180,"28o 19' 16""","28o 19' 35""","83o 08' 46""","83o 09' 25""",
3,Taranga Khola Small HEP,0.67,Taranga,170,2075-04-06,Taranga Hydro Care Pvt. Ltd,"Gaindakot, Nawalparasi","27o 47' 23""","27o 48' 09""","84o 16' 21""","84o 17' 59""","Kotathar,Ratnapur (Nawalparasi)"
4,Babiyodada Manthali Khola Micro HPP,0.47,Manthali Khola,546,2075-06-01,Gauurisankar Gaupalika,Suri Dolakha,"27o 48' 27""","27o 49' 03""","86o 13' 42""","86o 14' 15""",Lamabagar (Dolakha)
5,Thosne Khola Small HPP,0.7,Thosne Khola,1719,2075-06-22,"Mahakal Multipurpose Production Group via Konjyosom RM Office, Lalitpur",Gotikhel Lalitpur,"27o 30' 52""","27o 31' 22""","85o 18' 58""","85o 19' 40""","Bhattedanda,Dalchoki,Sankhu (Lalitpur)"
6,Sota Damuka Multipurpose Micro HEP,0.3,Hugdi,2479,2075-08-09,Rupakot Bikash Tatha Bidhyut Company Pvt. Ltd,"Rupakot-5, Damuka Gulmi, 9841204550","28o 03' 55""","28o 04' 29""","83o 21' 35""","83o 22' 06""",
7,Ludee Khola Small HEP,0.99,Ludi,2648,2075-08-14,Advance Power Development Centre Pvt. Ltd( Sahid Lakhan Gaupalika),"Shankhamul Marga, New Baneshwor, 01-4780505","27o 57' 00""","27o 57' 26""","84o 35' 47""","84o 36' 30""",
8,Ribal Khola Small HEP,0.998,Ribal,3916,2075-10-09,Melamchi Hydro Pvt. Ltd,"Kathmandu-6, Baudha","27o 58' 56""","27o 59' 22""","85o 30' 51""","85o 32' 03""",Kiwool (Sindhupalchok)
9,Sani Bheri Uttar Ganga Mini HEP,0.998,Uttar Ganga,4096,2075-10-17,Rukumeli Sahid Smriti Gramin Jalbidhyut Sahakari Sanstha Limited,Rukum,"28o 34' 30""","28o 35' 10""","82o 48' 50""","82o 49' 20""",Taksera (Rukum)
10,Chipli Khola Small HEP,0.595,Chipli Khola,8861,2076-03-22,Natural Construction Pvt. Ltd,"Pokhara-6, Baidam","28o 19' 06""","28o 19' 34""","84o 04' 50""","84o 05' 24""",
11,Kisedi Khola Hydropower Project,0.998,Kisedi Khola,1894,2076-06-02,CEDB Hydropower Development Company Limited ( Dordi Rural Municipality),"Bluestar Complex, Tripureshwor Kathmandu","28o 11' 47""","28o 12' 34""","84o 30' 52""","84o 31' 28""",Pachok (Lamjung)
12,Monjo Khola Mini HEP,0.593,Monjo,4626,2076-08-19,Khumbu Pasanglhamu Rural Municipality ( Monjo Khola Mini Hydro Pvt. Ltd),Solukhumbu,"27o 46' 00""","27o 46' 30""","86o 43' 20""","86o 44' 30""",
13,Aankhe Khola Small HEP,0.75,Aankhe Khla,2759,2077-08-15,Thuli Bher Municipality (Aankhe Khola Mini Hydro User Committee),Juphal Dolpa,"29o 02' 29""","29o 02' 36""","82o 54' 12""","82o 54' 40""","Tripurakot,Lawan (Dolpa)"
14,Dhachunkot Khola HEP,0.424,Dhanchukot,3258,2077-09-06,Naraharinath Rural Municipality,"Kumalgaun, Kalikot","29o 11' 33""","29o 11' 45""","81o 32' 16""","81o 32' 52""",
15,Tila Mini HEP,0.951,Tila,5000,2077-10-12,Tila Rural Municipality,"Karnali Province, Jumla","29o 12' 27""","29o 12' 57""","81o 55' 44""","81o 56' 13""",
