SN,Name ,Symbol ,Status ,Sector ,Instrument ,Email,Website
1,National Hydro Power Company Limited,NHPC,Active,Hydro Power,Equity,info@nhpcl.com,
2,Butwal Power Company Limited,BPCL,Active,Hydro Power,Equity,hari.budhathoki@bpc.com.np,http://www.bpc.com.np
3,Chilime Hydropower Company Limited,CHCL,Active,Hydro Power,Equity,info@chilime.com.np,www.chilime.com.np
4,Arun Valley Hydropower Development Co. Ltd.,AHPC,Active,Hydro Power,Equity,arunvalley2054@gmail.com,https://arunhydro.com.np
5,Sanima Mai Hydropower Ltd.,SHPC,Active,Hydro Power,Equity,sanimamai@sanimahydro.com,www.maihydro.com
6,Ridi Power Company Limited,RIDI,Active,Hydro Power,Equity,sayikanepal@gmail.com,
7,Barun Hydropower Co. Ltd.,BARUN,Active,Hydro Power,Equity,barunhydro@gmail.com,
8,Api Power Company Ltd.,API,Active,Hydro Power,Equity,apipowercompany@gmail.com,www.apipower.com.np
9,Ngadi Group Power Ltd.,NGPL,Active,Hydro Power,Equity,nyadigroup06@gmail.com,ngpl.com.npl
10,Khanikhola Hydropower Co. Ltd.,KKHC,Active,Hydro Power,Equity,khanikhola.hpc@gmail.com,www.kkhcl.com.np
11,Dibyashwori Hydropower Ltd.,DHPL,Active,Hydro Power,Equity,dibyashwarihydropower@gmail.com,
12,Arun Kabeli Power Ltd.,AKPL,Active,Hydro Power,Equity,arunkabeli@gmail.com,
13,Synergy Power Development Ltd.,SPDL,Active,Hydro Power,Equity,email.synergy@gmail.com,www.synergyhydro.com
14,United Modi Hydropower Ltd.,UMHL,Active,Hydro Power,Equity,unitedmodi@ntc.net.np,www.umh.com.np
15,Chhyangdi Hydropower Ltd.,CHL,Active,Hydro Power,Equity,chhyangdihydropowerltd@gmail.com,
16,Himalayan Power Partner Ltd.,HPPL,Active,Hydro Power,Equity,hpphydro.binaya@gmail.com,http://www.hpp.com.np
17,Nepal Hydro Developers Ltd.,NHDL,Active,Hydro Power,Equity,info@charnawathihydro.com,www.charnawatihydro.com
18,Radhi Bidyut Company Ltd,RADHI,Active,Hydro Power,Equity,info@radhibidyut.com.np,www.radhibidyut.com.np
19,Panchakanya Mai Hydropower Ltd,PMHPL,Active,Hydro Power,Equity,panchakanyamai@gmail.com,
20,Kalika power Company Ltd,KPCL,Active,Hydro Power,Equity,daraudikalikahydro@gmail.com,www.kalikapower.com.np
21,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Active,Hydro Power,Equity,ankhukhola@yahoo.com,www.aankhukholahydropower.com.np
22,Joshi Hydropower Development Company Ltd,JOSHI,Active,Hydro Power,Equity,joshihydropowerdev@gmail.com,https://jhdc.com.np/
23,Upper Tamakoshi Hydropower Ltd,UPPER,Active,Hydro Power,Equity,office@utkhpl.org.np,www.tamakhosihydro.org.np
24,Ghalemdi Hydro Limited,GHL,Active,Hydro Power,Equity,info@ghalemdi.com,www.ghalemdi.com
25,UNIVERSAL POWER COMPANY LTD,UPCL,Active,Hydro Power,Equity,universal2067@gmail.com,www.universalpowercompany.com.np
26,Mountain Hydro Nepal Limited,MHNL,Active,Hydro Power,Equity,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np
27,Panchthar Power Compant Limited,PPCL,Active,Hydro Power,Equity,ppchewa@gmail.com,www.ppcl.com.np
28,Himalaya Urja Bikas Company Limited,HURJA,Active,Hydro Power,Equity,himalayaurja@gmail.com,www.himalurja.com
29,Union Hydropower Limited,UNHPL,Active,Hydro Power,Equity,unionhppl@gmail.com,www.unionhydropower.com.np
30,RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Active,Hydro Power,Equity,neupane.nar@gmail.com,www.rghpcl.com.np
31,SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Active,Hydro Power,Equity,sanjenhcl@gmail.com,www.sjcl.com.np
32,Himal Dolakha Hydropower Company Limited,HDHPC,Active,Hydro Power,Equity,hydrohimaldolakha@gmail.com,www.himaldolakhahydro.com
33,Liberty Energy Company Limited,LEC,Active,Hydro Power,Equity,liberty@libertyenergy.com.np,www.libertyenergy.com.np
34,Shiva Shree Hydropower Ltd,SSHL,Active,Hydro Power,Equity,shivashreehydropowerltd@gmail.com,www.shivashreehdyro.com
35,Mountain Energy Nepal Limited,MEN,Active,Hydro Power,Equity,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np
36,United IDI Mardi RB Hydropower Limited.,UMRH,Active,Hydro Power,Equity,unitedidimardi7mw@gmail.com,www.idimardihydro.com.np
37,GreenLife Hydropower Limited,GLH,Active,Hydro Power,Equity,nepalgreenlife@gmail.com,www.greenlifehydropower.com.np
38,Singati Hydro Energy Limited,SHEL,Active,Hydro Power,Equity,shehydro@gmail.com,www.singatihydro.com
39,Ru Ru Jalbidhyut Pariyojana Limited,RURU,Active,Hydro Power,Equity,contact@ruruhydro.com,www.ruruhydro.com
40,Mailung Khola Jal Vidhyut Company Limited,MKJC,Active,Hydro Power,Equity,mailung.mkjc@gmail.com,www.mailunhkhola.com.np
41,Sahas Urja Limited,SAHAS,Active,Hydro Power,Equity,surja@sahasurja.com,www.sahasurja.com
42,Terhathum Power Company Limited,TPC,Active,Hydro Power,Equity,terathumpc@gmail.com,http://terhathumpower.com/
43,Samling Power Company Limited,SPC,Active,Hydro Power,Equity,info@spcl.com.np,spcl.com.np
44,Nyadi Hydropower Limited,NYADI,Active,Hydro Power,Equity,nhl@nhl.com.np,www.nhl.com.np
45,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Active,Hydro Power,Equity,admin@mbjcl.com.np,www.mbjcl.com.np
46,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Active,Hydro Power,Equity,lowertadi@gmail.com,buddhabhuminepalhydro.com.np
47,Green Ventures Limited,GVL,Active,Hydro Power,Equity,frontdesk@trivenihydro.com,www.greenventuresnepal.com
48,Balephi Hydropower Limited,BHL,Active,Hydro Power,Equity,info@balephihydro.com,www.balephihydro.com
49,River Falls Power Limited,RFPL,Active,Hydro Power,Equity,riverfallshydropower@gmail.com,www.riverfallshydro.com.np
50,Dordi Khola Jal Bidyut Company Limited,DORDI,Active,Hydro Power,Equity,info@dordikhola.com.np,www.dordikhola.com.np
51,Bindhyabasini Hydropower Development Company Limited,BHDC,Active,Hydro Power,Equity,info.bhdc@rmgroup.com.np,https://bindhyabasinihydro.com.np
52,Himalayan Hydropower Limited,HHL,Active,Hydro Power,Equity,himalayanhydro2021@gmail.com,www.hhpl.com.np
53,Upper Hewakhola Hydropower Company Limited,UHEWA,Active,Hydro Power,Equity,upperhewahpc@gmail.com,upperhewahpc.com.np
54,Swet-Ganga Hydropower & Construction Limited,SGHC,Active,Hydro Power,Equity,sghcl@sanimahydro.com,www.swetgangahydropower.com
